epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,714.363,2.52043,4.33175,0.01319,0.36736,0.07115,0.05082,0.02852,2.59242,3.98537,0.01408,0.00998969,0.0033299,0.00998969,0.0033299,0.00998969,0.0033299,0.00998969,0.0033299
2,1348.34,2.47376,3.55914,0.01233,0.37974,0.06496,0.05774,0.03105,2.60305,3.80491,0.01436,0.0199875,0.00666251,0.0199875,0.00666251,0.0199875,0.00666251,0.0199875,0.00666251
3,1853.08,2.52185,3.53103,0.01273,0.49409,0.08418,0.04808,0.02256,2.79683,3.77547,0.01616,0.0299767,0.00999222,0.0299767,0.00999222,0.0299767,0.00999222,0.0299767,0.00999222
4,3186.88,2.55712,3.55173,0.01299,0.37055,0.08112,0.05517,0.02751,2.66961,3.66762,0.01481,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,3761.3,2.53389,3.4977,0.01275,0.43195,0.09609,0.06312,0.03179,2.67294,3.62302,0.01465,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,4384.49,2.49661,3.44318,0.01244,0.2704,0.11234,0.07808,0.04106,2.57833,3.50571,0.01404,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,5088.91,2.49228,3.40944,0.01231,0.40575,0.10627,0.0729,0.03804,2.5848,3.51174,0.01371,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,5627.39,2.47657,3.40251,0.01224,0.34303,0.1162,0.08651,0.04655,2.56452,3.44918,0.01357,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,6310.86,2.46055,3.36828,0.01207,0.50593,0.09884,0.08191,0.04254,2.55802,3.515,0.01345,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,6793.02,2.45447,3.35603,0.01198,0.33096,0.12485,0.09446,0.05026,2.54422,3.40047,0.01321,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,7289.79,2.45101,3.3395,0.0119,0.32959,0.1304,0.09779,0.05309,2.53348,3.36768,0.01316,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,7775.67,2.44546,3.34957,0.01194,0.30755,0.13349,0.10108,0.05463,2.50701,3.34714,0.01301,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,8250.07,2.43769,3.3235,0.01182,0.36017,0.1297,0.10141,0.05568,2.49352,3.35684,0.01284,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,8761.77,2.43627,3.31327,0.01177,0.37587,0.1363,0.10691,0.05983,2.50178,3.33453,0.01288,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,9215.86,2.43148,3.29963,0.01174,0.33892,0.13813,0.11161,0.06152,2.49261,3.31139,0.01284,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,9672.77,2.42975,3.28486,0.01166,0.34107,0.1394,0.11173,0.06207,2.4717,3.30056,0.01263,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,10185,2.42516,3.30191,0.01165,0.35819,0.14011,0.11369,0.06363,2.47044,3.28726,0.01264,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
